"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2012","5.03","5.03","5.03","5.03","0","0.40"
"May 16, 2012","5.09","5.09","5.09","5.09","0","1.19"
"May 17, 2012","5.10","5.10","5.10","5.10","0","0.20"
"May 18, 2012","5.12","5.12","5.12","5.12","0","0.39"
"May 19, 2012","5.10","5.10","5.10","5.10","0","-0.39"
"May 20, 2012","5.09","5.09","5.09","5.09","0","-0.20"
"May 21, 2012","5.10","5.10","5.10","5.10","0","0.20"
"May 22, 2012","5.10","5.10","5.10","5.10","0","0.00"
"May 23, 2012","5.14","5.14","5.14","5.14","0","0.78"
"May 24, 2012","5.12","5.12","5.12","5.12","0","-0.39"
"May 25, 2012","5.15","5.15","5.15","5.15","0","0.59"
"May 26, 2012","5.10","5.10","5.10","5.10","0","-0.97"
"May 27, 2012","5.14","5.14","5.14","5.14","0","0.78"
"May 28, 2012","5.14","5.14","5.14","5.14","0","0.00"
"May 29, 2012","5.15","5.15","5.15","5.15","0","0.19"
"May 30, 2012","5.13","5.13","5.13","5.13","0","-0.39"
"May 31, 2012","5.18","5.18","5.18","5.18","0","0.97"
"Jun 01, 2012","5.27","5.27","5.27","5.27","0","1.74"
"Jun 02, 2012","5.25","5.25","5.25","5.25","0","-0.38"
"Jun 03, 2012","5.21","5.21","5.21","5.21","0","-0.76"
"Jun 04, 2012","5.27","5.27","5.27","5.27","0","1.15"
"Jun 05, 2012","5.44","5.44","5.44","5.44","0","3.23"
"Jun 06, 2012","5.46","5.46","5.46","5.46","0","0.37"
"Jun 07, 2012","5.59","5.59","5.59","5.59","0","2.38"
"Jun 08, 2012","5.63","5.63","5.63","5.63","0","0.72"
"Jun 09, 2012","5.56","5.56","5.56","5.56","0","-1.24"
"Jun 10, 2012","5.47","5.47","5.47","5.47","0","-1.62"
"Jun 11, 2012","5.57","5.57","5.57","5.57","0","1.83"
"Jun 12, 2012","5.70","5.70","5.70","5.70","0","2.33"
"Jun 13, 2012","5.93","5.93","5.93","5.93","0","4.04"
"Jun 14, 2012","5.95","5.95","5.95","5.95","0","0.34"
"Jun 15, 2012","6.50","6.50","6.50","6.50","0","9.24"
"Jun 16, 2012","6.40","6.40","6.40","6.40","0","-1.54"
"Jun 17, 2012","6.16","6.16","6.16","6.16","0","-3.75"
"Jun 18, 2012","6.31","6.31","6.31","6.31","0","2.44"
"Jun 19, 2012","6.50","6.50","6.50","6.50","0","3.01"
"Jun 20, 2012","6.67","6.67","6.67","6.67","0","2.62"
"Jun 21, 2012","6.68","6.68","6.68","6.68","0","0.15"
"Jun 22, 2012","6.55","6.55","6.55","6.55","0","-1.95"
"Jun 23, 2012","6.43","6.43","6.43","6.43","0","-1.83"
"Jun 24, 2012","6.35","6.35","6.35","6.35","0","-1.24"
"Jun 25, 2012","6.30","6.30","6.30","6.30","0","-0.79"
"Jun 26, 2012","6.42","6.42","6.42","6.42","0","1.90"
"Jun 27, 2012","6.65","6.65","6.65","6.65","0","3.58"
"Jun 28, 2012","6.61","6.61","6.61","6.61","0","-0.60"
"Jun 29, 2012","6.65","6.65","6.65","6.65","0","0.61"
"Jun 30, 2012","6.69","6.69","6.69","6.69","0","0.60"
"Jul 01, 2012","6.63","6.63","6.63","6.63","0","-0.90"
"Jul 02, 2012","6.76","6.76","6.76","6.76","0","1.96"
"Jul 03, 2012","6.45","6.45","6.45","6.45","0","-4.59"
"Jul 04, 2012","6.51","6.51","6.51","6.51","0","0.93"
"Jul 05, 2012","6.67","6.67","6.67","6.67","0","2.46"
"Jul 06, 2012","6.65","6.65","6.65","6.65","0","-0.30"
"Jul 07, 2012","6.76","6.76","6.76","6.76","0","1.65"
"Jul 08, 2012","6.80","6.80","6.80","6.80","0","0.59"
